num,name
"UN-49485","II"
"UN-48910","QQ"
"UN-49510","II"
"UN-49480","YY"
"UN-49488","ZZ"
"UN-49436","QQ"
"99-08999","FF_Tiger"
"US-49550","FF"
"UN-43835","ZZ"
"UN-48466","II"
"UN-49577","ZZ"
"UN-48699","YY"
"UN-49526","YY"
"99-A9065","DD"
"UN-49760","C_ICAN"
"UN-44800","YY"
"UN-48900","YY"
"SR-49719","D"
"UN-49905","ZZ"
"UN-49913","FF"
"UN-49958","F"
"UN-49998","ZZ"
"UN-50054","FF"
"UN-50523","ZZ"
"IR-50550","ZZ"
"UN-48441","FF"
"99-A9040","DD"
"UN-49791","DD"
"UN-49792","DD"
"UN-49798","II"
"UN-49800","II"
"UN-49860","II"
"CO-49835","FF1_Vialinx3"
"UN-49438","YY"
"US-49847","GG_custom_all-0.012"
"UN-49901","YY"
"UN-48749","ZZ"
"UN-49929","FF_pennymac_bandwith"
"UN-49439","ZZ"
"UN-40121","ZZ"
"UN-48857","ZZ"
"UN-45623","ZZ2"
"UN-43582","YY"
"UN-42763","C_ICAN"
"UN-49815","ZZ"
"UN-50087","DD"
"UN-50036","YY"
"UN-47889","YY"
"UN-46263","ZZ"
"UN-49720","YY"
"UN-50065","YY"
"UN-50153","QQ"
"UN-50032","YY"
"US-49801","YY"
"UN-50219","YY"
"UN-41416","FF"
"UN-50294","YY"
"UN-50146","ZZ"
"UN-50185","YY"
"PH-50161","YY"
"UN-50338","YY"
"UN-50018","YY"
"99-00123","DD"
"US-50078","FF"
"UN-50120","YY"
"IR-49926","ZZ"
"UN-49474","YY"
"US-44822","FF"
"UN-50555","II_HV_AD"
"UN-49884","YY"
"UN-49134","YY"
"UN-50211","DD"
"UN-47406","FF"
"UN-50554","II_HV_AD"
"UN-50662","ZZ"
"UN-50647","ZZ"
"UN-50814","FF"
"UN-50889","FF"
"UN-50961","D"
"UN-51183","FF"
"GE-50580","FF"
"UN-50576","YY"
"UN-46684","II"
"UN-50689","FF"
"UN-50648","II"
"UN-50664","FF1"
"UN-47103","C_ICAN - Sokolove"
"UN-50695","II"
"UN-50734","AWW"
"UN-48240","FF_Stellar Restaurant Sol"
"UN-50765","II"
"UN-46739","GG - Do not use - requires SVP approval"
"UN-50788","FF"
"UN-50225","FF"
"UN-50762","ZZ"
"UN-50806","DD"
"UN-50213","II"
"UN-50481","YY"
"09-09090","DD"
"UN-50746","YY"
"UN-43995","FF"
"99-A9031","DD"
"09-09091","DD"
"CA-50901","DD"
"UN-50242","ZZ"
"UN-49886","FF"
"US-51102","ZZ"
"UN-49424","YY"
"UN-51110","FF"
"UN-51176","FF"
"UN-51337","ZZ"
"UN-51338","FF"
"UN-51339","DD"
"UN-51363","FF"
"UN-51436","ZZ"
"UN-51568","FF"
"UN-51608","FF"
"UN-51635","FF"
"UN-49856","YY"
"UN-50654","C_ICAN_Menacola Mktg"
"UN-50574","ZZ1"
"US-51166","FF"
"UN-47810","YY"
"UN-51303","YY"
"UN-51179","DD"
"UN-90999","DD"
"UN-51182","DD"
"99-A9060","T"
"IN-51329","II"
"UN-46807","ZZ"
"99-A9032","DD"
"UN-42809","YY"
"UN-51466","DD"
"UN-51522","DD_Five9 Test"
"99-A9073","DD"
"UN-51548","YY1"
"UN-51523","ZZ"
"UN-51439","QQ"
"CA-51310","YY"
"UN-51467","DD"
"UN-51046","YY"
"UN-51570","FF"
"UN-51631","C_ICAN"
"UN-51464","ZZ"
"UN-51621","ZZ2"
"UN-46042","ZZ"
"UN-51674","II"
"UN-51683","DD"
"UN-49990","GG_American Support"
"UN-51440","ZZ"
"UN-51689","ZZ"
"UN-51709","II"
"CA-51719","FF"
"UN-51765","FF"
"UN-51886","ZZ"
"UN-52019","FF"
"UN-52103","ZZ"
"UN-52143","II"
"UN-52136","ZZ"
"UN-52137","ZZ"
"UN-51718","II"
"UN-51354","YY2"
"UN-51379","YY"
"UN-51769","YY"
"UN-51721","GG - Do not use - requires SVP approval"
"UN-44784","YY"
"UN-51700","YY"
"CA-51771","YY"
"UN-51901","II"
"UN-51744","FF"
"UN-51926","FF"
"UN-51743","YY"
"CA-51892","DD"
"UN-51928","DD"
"UN-51915","DD"
"UN-51914","DD"
"UN-51917","DD"
"UN-51919","DD"
"UN-51918","DD"
"UN-51920","DD"
"UN-51929","DD"
"UN-51904","YY"
"UN-39964","C_ICAN"
"UN-48164","YY"
"UN-50738","YY"
"UN-48624","YY"
"UN-50335","YY"
"UN-51789","YY"
"CA-52004","FF"
"UN-52014","FF"
